0,24000,1,0,1,1,0,0,26,0,0,0,1,0,0,0,0
1,75000,1,1,1,1,0,0,15,1,0,1,1,1,1,1,0
0,46000,1,1,0,0,0,0,36,1,1,1,1,1,1,0,0
1,70000,0,1,0,1,0,0,55,0,0,1,1,1,1,1,0
0,43000,1,0,0,0,0,0,27,0,0,0,0,1,1,0,1
0,24000,1,1,0,0,0,0,41,0,0,1,1,0,0,0,0
0,26000,1,1,1,0,1,0,20,0,1,1,1,1,1,0,0
0,38000,1,1,0,0,1,0,8,0,0,1,1,1,1,0,0
0,39000,1,0,1,1,0,0,17,0,0,0,0,1,1,0,0
0,49000,0,1,0,0,1,0,31,0,0,1,1,1,1,0,0
1,75000,1,0,1,0,0,0,13,1,0,0,0,1,1,0,1
0,31000,1,0,1,0,1,0,51,0,0,0,0,1,1,0,0
0,10000,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0
0,22000,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
0,39000,0,1,0,0,0,0,24,0,0,1,1,0,0,0,0
0,2000,0,1,0,0,0,1,52,1,1,0,1,0,1,0,0
1,75000,0,0,0,0,0,0,9,0,0,0,1,1,1,1,0
1,69000,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0
1,60000,1,1,0,1,0,0,6,1,0,0,0,1,1,1,1
0,12000,1,0,0,0,0,0,22,0,0,0,0,1,1,0,0
0,42000,1,1,0,0,0,0,46,1,0,1,1,1,1,0,1
0,4000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
0,75000,0,0,0,0,0,0,12,0,1,0,1,1,1,0,0
1,45000,1,1,1,0,0,0,20,1,1,1,1,1,1,0,1
0,21000,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0
1,75000,1,0,1,1,0,0,16,0,0,1,1,0,1,0,0
0,23000,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0
0,38000,0,0,0,0,1,0,33,0,0,1,1,1,1,0,0
0,12000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
0,46000,1,1,0,0,0,0,16,0,0,1,1,1,1,1,0
0,50000,1,1,0,1,0,0,7,1,1,1,1,0,1,0,1
0,46000,0,0,0,0,0,0,17,0,1,0,1,1,1,0,0
1,75000,0,1,0,1,0,0,36,1,0,1,1,1,1,0,1
0,4000,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0
0,33000,1,1,0,0,0,0,43,0,0,0,1,0,1,1,0
0,26000,0,0,0,0,0,0,33,0,0,0,0,1,1,0,0
1,75000,0,0,0,1,0,0,12,1,0,1,1,1,1,0,0
0,33000,1,1,1,1,0,0,15,0,0,1,1,1,1,0,0
0,4000,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,49000,0,1,0,0,0,0,10,1,1,1,1,1,1,0,0
0,21000,1,1,0,0,0,0,20,1,1,0,0,0,1,0,0
0,20000,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
0,15000,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0
0,25000,0,0,0,1,0,0,23,0,0,0,0,0,1,0,0
0,40000,0,1,1,0,1,0,13,0,0,1,1,1,1,0,0
1,75000,1,1,1,1,0,0,12,1,0,1,1,1,1,0,0
0,33000,1,1,0,0,0,0,20,1,0,1,1,0,1,0,0
0,10000,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
0,20000,1,0,0,0,0,0,29,0,0,0,0,0,1,0,0
0,2000,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0
0,43000,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
0,11000,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
0,18000,0,0,0,0,0,0,24,0,0,0,0,1,1,0,0
0,7000,1,0,0,0,0,0,10,0,1,0,1,1,1,0,0
1,75000,1,1,0,1,0,0,18,0,1,1,1,1,1,0,0
0,2000,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0
0,7000,1,0,0,0,0,0,13,0,1,0,1,1,1,0,0
0,0,1,0,0,0,0,0,32,0,1,0,1,0,1,0,0
1,47000,1,1,1,1,0,0,7,1,1,1,1,1,1,0,0
0,20000,1,0,0,1,0,0,3,0,0,0,0,1,1,0,0
1,75000,1,1,0,0,0,0,9,1,0,1,1,1,1,0,0
1,61000,1,1,1,1,0,0,51,1,0,1,1,0,1,0,0
0,30000,0,0,0,0,0,0,14,0,1,0,1,0,1,0,0
0,6000,1,0,0,0,0,0,18,0,1,1,1,1,1,0,0
0,22000,0,0,0,1,0,0,24,0,0,0,1,0,1,0,0
0,39000,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,26000,1,0,0,0,0,0,24,0,0,0,0,1,1,0,1
0,22000,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
0,46000,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0,39000,1,1,1,0,0,0,45,1,1,1,1,0,1,0,0
0,49000,0,0,0,0,0,0,18,0,0,0,1,1,1,1,0
0,5000,1,1,0,0,0,0,18,0,1,0,1,0,1,0,0
0,9000,0,0,1,0,0,0,13,0,0,0,0,0,1,0,0
0,75000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
0,9000,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0
0,43000,1,0,0,1,0,0,25,0,0,0,1,1,1,0,1
0,30000,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0
0,13000,0,0,0,0,0,0,20,0,0,0,0,1,1,0,0
0,3000,1,0,0,0,0,1,9,0,1,0,1,0,0,0,0
